Nom,Description,Ethnie,Pays,Materiaux,Hauteur_cm,Largeur_cm,Poids,Datation,img,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,img_11,img_12
"
                        Statuette perlée Bamileke ","
Ex-collection  art africain  Camerounaise
La riche production d'art africain chez les populations du Grassland Camerounais s'illustre principalement par la statuaire sur bois : sculptures commémoratives de rois,  reines,  princesses et  serviteurs titrés, ainsi que des parents de jumeaux.

Au sein de l'importante peuplade bamileke à l'Ouest du Cameroun, les  Bangwa  constituent un petit royaume.  L'influence des  Bamileke  sur la statuaire  bangwa  est notable par des traits faciaux et une morphologie relativement comparables. 
Typiques du pays  bamileke , les statues  bangwa  représentent souvent la fécondité mais aussi la puissance et la combativité. Elles sont souvent positionnées de chaque côté des fauteuils d'intronisation lors des réunions de notables. 
Quelques rangs de perles sont décollés.
                         
                    ", , , , , , , ,https://www.galerie-art-africain.com/photos-art-africain/24578/3d7eff06-807d-45b4-a3d2-ef6b7b7701f3/Statuette-Bangwa-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/24578/3d7eff06-807d-45b4-a3d2-ef6b7b7701f3/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/6d3f86cb-21a2-4fc2-a625-835b0990cecf/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/4821b080-1c54-43c5-880f-0ad47d1b5b23/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/c31202e8-7dc9-4ab9-9d0d-80ddad99a38c/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/919af00b-19bb-4a2a-ba21-dadde1a890b0/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/041079f6-becc-4f99-abf3-e41a94fecb10/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/4bb48fa4-004f-4f60-877c-5cc1b51362d7/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/d6577a42-78ad-4192-bb0e-f10cfcaca0d0/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/d62f091b-dd55-46f0-bf51-51dbe1de7345/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/e615579b-5ee5-4382-96de-3a14ad176e95/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/67e425e1-2aeb-46d1-ab78-32b0de869c0a/Statuette-Bangwa-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/24578/c609f9ac-a325-43d0-9918-b0277a62289a/Statuette-Bangwa-Art-Africain_th.jpg', None)"
"
                        Lit Bamileke ","
Ce lit bamileke est taillé dans une pièce de bois unique.

La partie supérieure est décorée d'un animal tandis que les parties porteuses sont constituées de têtes et de personnages aux traits typiquement bamileke et rappellent l'éléphant. Les visages sont relativement imposants et agrémentés d'yeux larges. Les oreilles se détachent sur le même plan que le visage. Les nez sont aplatis. 

La pièce est couverte d'une patine sombre et lisse.


Chez les Bamilekes comme dans d'autres groupes ethniques, les objets d'art témoignaient de la position de leur propriétaire dans la hiérarchie de la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social. Le roi bamileke, également appelé fon, garant de la fertilité des sols et de la protection de ses sujets, n'était pas considéré comme mortel. De ce fait, ses funérailles étaient une célébration réjouissante, le fon se retirant simplement physiquement mais veillant toujours sur son peuple depuis sa nouvelle demeure.


                         
                    ",Bamileke,cameroun,Bois,160,21 cm,27 cm,"10,00 Kg",https://www.galerie-art-africain.com/photos-art-africain/8796/77da8ae9-8bbf-492a-9fd1-b8127688d0eb/Lit-Bamilake_Art_Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/8796/77da8ae9-8bbf-492a-9fd1-b8127688d0eb/Lit-Bamilake_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/8796/0c7923ed-7df9-4e5b-bd87-4ddad03a27fa/Lit-Bamilake_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/8796/c24fb8ea-85ba-4131-9c85-b2cde05e3529/Lit-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/8796/e4bd10f2-cb6b-40e4-9419-96cdf610ea14/Lit-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/8796/7fc92973-21b7-4b5c-a723-fa7ae322d0b9/Lit-Bamilake_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/8796/4815f5e6-79c3-4d12-b908-cf385e4b7e15/Lit-Bamilake_Art_Africain_th.jpg', None)", , , , , , 
"
                        Statuette perlée Bamileke ","
Couleurs et chefferies dans l' art africain  des régions du Grassland.




 Cette statuette d'ancêtre a été sculptée en bois pour ensuite être recouverte d'une toile de rabane incrustée de perles multicolores importées. Ancienne monnaie de troc et symbole de richesse, l'usage des perles est répandu dans l'art royal des chefferies du Grassland. 
Chez les  Bamiléké  comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social. Le roi  Bamiléké , également appelé fon, garant de la fertilité des sols et de la protection de ses sujets, n'était pas considéré comme mortel. De ce fait, ses funérailles étaient une célébration réjouissante, le fon se retirant simplement physiquement mais veillant toujours sur son peuple depuis sa nouvelle demeure.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et  Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du  Fon qui disposerait de larges pouvoirs surnaturels dont celui de pouvoir se muer en animal tels que le python, l'éléphant, le léopard,  ou  le buffle. 


                         
                    ",Bamileke,cameroun,"Bois, perles, textile",40,15 cm,"1,00 Kg",Mi-XX°,https://www.galerie-art-africain.com/photos-art-africain/21128/146ed0fe-1c2d-4b03-beb9-424ba0725271/Statue-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/21128/146ed0fe-1c2d-4b03-beb9-424ba0725271/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/a6235bef-ad98-4373-b45e-b480aec38ef1/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/78d376b6-56df-4370-ad96-08c9e0dacac9/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/625b9e5b-f9d3-42cb-a24d-ffd44774fdb2/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/68c636d4-867d-4250-ae19-e4a2d70cae30/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/82d6b2ce-baa5-468d-a45e-2bfe1fa2df51/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/29f569d3-cec4-4afc-bd71-b104262de1f9/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/6dccfdee-2019-4d57-836b-752957563621/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/7d61654a-3365-4ce4-a0f5-c29a67878d1d/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/0d6cf2a4-8712-4066-bcbc-061d44e527af/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/245ec33c-a4e1-4ea8-ab3f-4b66bf8107f7/Statue-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21128/b4f3cf9e-a7f5-4f90-b207-b5a69138d09f/Statue-Bamileke-Art-Africain_th.jpg', None)"
"
                        Coiffe Bamileke ""Juju Hat"" ","
Ex-collection  art africain  Camerounaise
Les somptueuses coiffes Bamileke dans l'art africain . Parure africaine de prestige, portée par les notables, cet exemplaire offre une garniture de plumes jaune vif.

C'est à l'occasion de la danse de l'éléphant, tso ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap  mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet,aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers ,la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social. 
                         
                    ",Bamileke,cameroun,"Plumes, bois, textile, raphia",46,25 cm,46 cm,"0,53 Kg",https://www.galerie-art-africain.com/photos-art-africain/20037/86ce70d9-171a-431a-ab21-5387a07fa90c/Nouveau-produit-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/20037/86ce70d9-171a-431a-ab21-5387a07fa90c/Nouveau-produit-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20037/c65b9ea6-a173-49b8-947c-0e41af6ac1b8/-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20037/a3f0fa26-be29-4156-bdaf-f046b3fc14ab/Coiffe-Bamileke-Art-Africain_th.jpg', None)", , , , , , , , , 
"
                        Siège de dignitaire Bamileke Kuo koko ","
Dans l' art africain , les Bamiléké démontrent leur savoir-faire par l'usage de perles multicolores.


Ce siège monoxyle ayant l'apparence d'une table, nommé   rü mfo   chez les Bamum, présente des motifs figuratifs humains.
Une structure de base est sculptée dans le bois pour ensuite être recouverte, au-dessus d'une toile de rabane, d'un treillis de perles multicolores importées. br>
 
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun ,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun, ou Bamum et Bamileke. Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes,s'organisent autour du  Fon qui dispose de larges pouvoirs.
Chez les Bamilékés d'origine Soudano-Bantous comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Les sièges, dont l'ornementation variait selon le statut social, étaient sculptés pour l'usage courant ou pour les réunions des Sociétés Coutumières. 
(Les Bamiléké, R. Lecoq)
                         
                    ",Bamileke,cameroun,"Bois, perles",52,49 cm,"20,80 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/17369/ab891095-83f1-4807-b122-71bb52778131/Table-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/17369/ab891095-83f1-4807-b122-71bb52778131/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17369/791c39e4-32d0-4571-8ddb-14dfaf107333/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17369/9f5265a6-e319-4d92-a45e-675dc1ccb8cc/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17369/98a580dd-870b-4a5e-8739-1cb05bbc5779/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17369/3a68a825-a06a-494c-9c8c-fdce9a0a5527/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17369/cdd5a3f3-d0b1-4e51-95fb-cf3210df1f4e/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17369/ef15f6f6-4d02-438d-8000-6ab9b8a24ea1/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17369/2627c351-4b7b-4d81-8204-c3ad50966fc7/Table-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/17369/3acdafdd-dd8b-4552-9bb9-02d7889305bd/Table-Bamileke-Art-Africain_th.jpg', None)", , , 
"
                        Coiffe Bamileke ""Juju Hat"" ","
Les somptueuses coiffes Bamileke dans l' art africain  . Parure africaine de prestige, portée par les notables, cet exemplaire offre une garniture de plumes fuschia.

C'est à l'occasion de la danse de l'éléphant, tso ,que les membres de la société  Kuosi  ,  Kwosi  , arboraient ces impressionnantes coiffes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires ,  mbap  mteng  ,d'une étoffe de tissu,  ndop  , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Les chapeaux étaient autrefois confectionnés avec des plumes de perroquet,aujourd'hui de pintades sauvages, dont la rareté entraînait un coût élevé. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Société composée à l'origine de valeureux guerriers ,la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social. 
                         
                    ",Bamileke,cameroun,"Plumes, bois, textile, raphia",76,76 cm,"1,30 Kg",2ème moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/20106/6705092b-cd14-49f8-82ec-2740e4c11a3e/Chapeau-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/20106/6705092b-cd14-49f8-82ec-2740e4c11a3e/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20106/28c3e0be-3ea1-4ee8-8288-386ce51340fa/Chapeau-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/20106/3ab5c0f9-d4c5-4b23-ac31-de5c5305a6f8/Chapeau-Bamileke-Art-Africain_th.jpg', None)", , , , , , , , , 
"
                        Statue perlée Bamileke / Bamoun ","
Couleurs et chefferies dans l' art africain .


 Cette statuette figurant un ancêtre masculin a d'abord été sculptée dans le bois pour ensuite être recouverte d'une toile de rabane incrustée de perles multicolores importées. La physionomie affiche une expressivité distinctive de l'art tribal africain des régions du Grassland.
Chez les  Bamiléké  comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social. 
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et  Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du  Fon qui disposerait de larges pouvoirs surnaturels dont celui de pouvoir se muer en animal tels que le python, l'éléphant, le léopard,  ou  le buffle. 


                         
                    ",Bamileke,cameroun,"Bois, perles, textile",50,13 cm,"1,90 Kg",Mi-XX°, , , , , , , , , , , , , 
"
                        Statue perlée Bamileke /Bangwa N'kétuok ","
Couleurs et chefferies dans l' art africain .




 Cette figure sculptée ("" N'Kétuok "") représentant un ancêtre féminin a d'abord été sculptée en bois puis enveloppée d'une toile de rabane incrustée de perles de verre importées. Le personnage est muni d'une pipe. Une main repose sur son abdomen. Des perles sont décousues.

Chez les  Bamiléké  comme dans d'autres groupes ethniques, les objets d'art témoignaient de la place de leur propriétaire dans la société. Ainsi, les matériaux et les formes des objets variaient selon le statut social. Le roi  Bamiléké , également appelé fon, garant de la fertilité des sols et de la protection de ses sujets, n'était pas considéré comme mortel. De ce fait, ses funérailles étaient une célébration réjouissante, le fon se retirant simplement physiquement mais veillant toujours sur son peuple depuis sa nouvelle demeure.
Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et  Bamileke . Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du  Fon qui disposerait de larges pouvoirs surnaturels dont celui de pouvoir se muer en animal tels que le python, l'éléphant, le léopard,  ou  le buffle. 


                         
                    ",Bamileke,cameroun,"Bois, perles, raphia",51,15 cm,"2,00 Kg",Mi-XX°, , , , , , , , , , , , , 
"
                        Masque Batcham Msop / Tsemabu ","
 Art africain  du Cameroun.

Cet exemplaire est une réplique miniature du grand masque royal dont la structure très particulière forme un visage doté d'un nez horizontal aux larges  narines dilatées et un haut front plane évoquant le dossier d'une assise. 

La base circulaire est surmontée d'une bouche dévoilant une rangée de dents régulières.


Patine brun rougeâtre mate. Abrasions.




Le premier  masque africain  de ce type ayant été découvert à  Batcham  dans les  Grasslands  camerounais, ce masque, sacré, fut erronément appelé  Batcham  au sein de l'art tribal. Plusieurs chefferies disposaient de ces masques importants qui composaient le trésor royal. Un seul exemplaire était cependant utilisé. Il était lié aux activités de la société secrète appelée selon les régions msop  ou  tsemabu, et à laquelle appartenait également le roi également appelé fon. Le  Fon  était garant de la fertilité des sols et de la protection de ses sujet ; il n'était pas considéré comme mortel.
                         
                    ",Bamileke,cameroun,Bois,76,40 cm,"5,00 Kg",Mi-XX°, , , , , , , , , , , , , 
"
                        Masque éléphant Bamileke Mbap mteng ","
Ex-collection  art africain  Camerounaise
Ces longs masques en tissu brodé de perles à la polychromie très riche étaient portés par des membres de haut rang dans la société  bamileke . Les pans de tissu brodés de perles sont surmontés d'une tiare en vannerie décorée de symboles zoomorphes gansés de textile .
Exhibés à l'occasion des funérailles de certains guerriers, le porteur en agitait les oreilles et simulait la charge de l'éléphant, animal que ce masque symbolisait. 
Parties légèrement décousues.

La société bamileke disposait de plusieurs associations initiatiques dont les mwola et les komiyo, ce sont ces sociétés dont sont issus les hommes autorisés à porter ces masques.
C'est à l'occasion de la danse de l'éléphant,  tso ,que les membres de la société  Kuosi ,  Kwosi , arboraient d' impressionnantes coiffes à plumes. Elles étaient portées au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires , mbap mteng ,d'une étoffe de tissu,  ndop , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles.

                         
                    ",Bamileke,cameroun,"Textile, perles, vannerie",145,32 cm,"1,60 Kg",En option,https://www.galerie-art-africain.com/photos-art-africain/21412/6e0a5a25-996d-4d0e-b434-f50a5cc340f2/Masque-Bamileke-Art-Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/21412/6e0a5a25-996d-4d0e-b434-f50a5cc340f2/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/ec8bbd33-bcbe-462c-a464-3b72525a9e1b/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/46a11942-0850-46d8-9a26-4b34e756b20e/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/9131185b-83c8-4b90-9bfc-eea762b4c9c4/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/24481ff9-6aca-428a-9cc7-bbc311f81d2d/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/99d93895-f0d4-43a0-b658-c2b99ff51d97/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/b1d9fe3d-9993-4db2-bbbf-6fdfc5767c01/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/528e558c-42ea-4729-8f46-85fd2033fa1c/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/7f0d2828-0ab7-4609-8e51-462498f52c67/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/bacc7c76-083f-438c-89f2-9dcdde4d620d/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/d75c4f7b-a50f-4aa4-a4bd-85037941798f/Masque-Bamileke-Art-Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/21412/51996196-344f-4411-a827-516351b3f1eb/Masque-Bamileke-Art-Africain_th.jpg', None)"
"
                        Masque Bamileke Té mam'bu ","
Ex-collection art africain belge

La région de Batoufam, dans le territoire Bamileke, produit ce type de masque africain aux joues bombées associées au souffleur, aux yeux globuleux, un long nez busqué et des dents taillées. Masque destiné à être porté sur la tête, il est évidé pour en diminuer le poids et doté d'une collerette touffue en raphia.

Située dans la région frontalière du Nigeria, la province du Nord-Ouest du Cameroun,  le Grassland  est constituée de plusieurs ethnies : Tikar, Anyang, Widekum, Chamba, Bamoun et Bamileke. Plusieurs chefferies centralisées, ou royaumes, basées sur les associations coutumières, sociétés secrètes, s'organisent autour du  Fon qui disposerait de larges pouvoirs surnaturels dont celui de pouvoir se muer en animal tels que le python, l'éléphant, le léopard,  ou  le buffle. Chef religieux, il est aussi juge et chef de guerre. Sa position comprend cependant de nombreuses obligations qu'il se devait  de remplir pour ne pas être mis à mort.

                         
                    ",Bamileke,cameroun,"Bois, raphia",60,30 cm,"2,40 Kg",1ère moitié XX°,https://www.galerie-art-africain.com/photos-art-africain/13355/8199529b-fc0c-4570-b865-d15bd6ec7833/Masque-Bamileke_Art_Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/13355/8199529b-fc0c-4570-b865-d15bd6ec7833/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/82b76567-e3b4-4e14-85d2-760bc54191f3/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/2c07b5f5-499b-471c-b891-79f90cc32a14/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/ad7280ff-34b2-4ae0-93a3-3a4dc2e0bd52/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/e68de619-dd55-47ed-91f0-eec7337a5fe4/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/001f0a6d-c95a-4f13-b1ec-6308cc06a6fb/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/be82bcde-2e58-47ae-955a-2ee12ab77071/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/883748b3-3cc5-4fad-a3cb-466e28f9f4e3/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/f420a9f3-6418-4d10-b35a-9bf735ce127a/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/9a4bfee8-93f5-46f0-ae8d-7a9c8fc6e8da/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/083cd336-dbac-4f5e-a875-f630605fd04c/Masque-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/13355/d087c66b-128b-48cd-b0e7-53f202ff2ab8/Masque-Bamileke_Art_Africain_th.jpg', None)"
"
                        Chapeau Couronne de plumes Ten Bamileke Juju ","
Parure de tête et symbolisme de l'oiseau dans l'art africain traditionnel.

Cet authentique chapeau appelé ten, composé  de plumes vermillons du perroquet  Psittacus erithacus , a été porté lors d'un cérémonial obéissant à un ensemble de règles établies par les ancêtres depuis des milliers d'années. Originalité, il  peut être replié lorsqu'il n'est pas porté. Les plumes sont fixées à des languettes de bois recouvertes de tissu, placées autour d'une armature circulaire consolidée par un panier de fibres d'osier. Les plumes rouges des ailes de touraco marquaient par ailleurs l'entrée dans le monde des adultes. Dans la région des Grassfields camerounais, les hommes étaient  tenus de porter un couvre-chef en toute circonstance. Mais pour y adjoindre des plumes, il fallait l'autorisation du fon.C'est à l'occasion de la danse de l'éléphant,  tso ,que les membres de la confrérie guerrière hiérarchisée  Kuosi ,  Kwosi , arboraient ces impressionnantes coiffes. Apanage du  Fon ,le chef de la chefferie ou du royaume et de ses huit notables, elle pouvait cependant aussi être portée par d'autres initiés titrés. Elle était arborée au-dessus d'un costume multicolore constitué d'un grand masque perlé doté de larges oreilles circulaires , mbap mteng ,d'une étoffe de tissu,  ndop , ornée de fourrure de singe et d'une ceinture en léopard. Ces danses se produisaient au cours de cérémonies festives et de funérailles. Société composée à l'origine de valeureux guerriers ,la  Kosi  a évolué en une association de riches notables agissant de la part de la royauté afin de réguler l'ordre social.

                         
                    ",Bamileke,cameroun,"Plumes, tissu",78,78 cm,"2,50 Kg",1ère moitié XXème siècle,https://www.galerie-art-africain.com/photos-art-africain/10491/fee98b83-1abf-4609-b963-268c2432c228/Chapeau-Juju-Bamileke_Art_Africain_hqth.jpg,"('https://www.galerie-art-africain.com/photos-art-africain/10491/fee98b83-1abf-4609-b963-268c2432c228/Chapeau-Juju-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/10491/cc7cc8de-8413-46a0-8b0f-d36ff6a21887/Chapeau-Juju-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/10491/0b23683e-1bdd-4df4-bbe4-ebe54fe0fcc2/Chapeau-Juju-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/10491/a642e8a5-f8cd-4eeb-b40a-f0ca844347cf/Chapeau-Juju-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/10491/a910e978-82e9-43b2-a404-b7fff76d7de2/Chapeau-Juju-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/10491/1cf5e36a-cdcf-42e7-a642-d5af8928d254/Chapeau-Juju-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/10491/ddc7741c-2a9a-4613-a402-4bd3c15126e6/Chapeau-Juju-Bamileke_Art_Africain_th.jpg', None)","('https://www.galerie-art-africain.com/photos-art-africain/10491/a8fbc1f4-751e-4abb-ac49-79eae8c1eecf/Chapeau-Juju-Bamileke_Art_Africain_th.jpg', None)", , , , 
